Year,Survey Country,NPFMC Sablefish Mgmt Area ID,NPFMC Sablefish Management Area,Species Code,Common Name,CPUE,RPN,RPW
2004,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",10.9821535965367,195081.303567515,633717.086768533
2004,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",7.96843815301823,78732.804416927,253181.841939583
2004,United States,6,West Yakutat,20510,"""Sablefish""",8.20213936225875,47424.7697925801,175562.580598574
2004,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",7.66147300740193,70079.4935987055,178708.699743183
2003,United States,1,Aleutians,20510,"""Sablefish""",1.74943219928894,85650.273905646,270206.748241397
2003,United States,2,Bering Sea,20510,"""Sablefish""",2.48888692847704,74497.5211758378,232996.091622532
2003,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",7.82924056086828,78327.1022116161,245367.055274206
2003,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",8.9669122150414,82020.3460309837,258696.840105629
2002,United States,1,Aleutians,20510,"""Sablefish""",1.71658033779713,87886.8867394702,292425.226107523
2002,United States,2,Bering Sea,20510,"""Sablefish""",2.74353934875724,91351.205690799,273446.198344115
2002,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",9.90159407967879,176081.675647585,643363.143815141
2002,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",7.31385417501215,77998.4032915446,287132.648995263
2002,United States,6,West Yakutat,20510,"""Sablefish""",8.10190535405064,46845.2167571208,171984.870446892
2002,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",8.84452370362593,80900.8583170664,256917.8685678
2001,United States,1,Aleutians,20510,"""Sablefish""",1.95029848419162,97609.8295686774,273636.492155718
2001,United States,2,Bering Sea,20510,"""Sablefish""",2.71994560203301,84378.8919805682,256632.819473133
2001,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",7.95332949900562,139374.198126557,561168.570617199
2001,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",8.04562930546276,80127.183949954,290747.147092134
2001,United States,6,West Yakutat,20510,"""Sablefish""",5.41849319324486,31329.7276433418,129620.091753873
2001,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",11.1350654203946,101852.44340035,294277.422252983
2000,United States,1,Aleutians,20510,"""Sablefish""",1.86797330353272,90391.9451567051,260665.174920044
2000,United States,2,Bering Sea,20510,"""Sablefish""",1.46329725293232,45224.8221568351,125698.579921018
2000,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",7.13765628188344,125101.345225932,506368.050406549
2000,United States,6,West Yakutat,20510,"""Sablefish""",6.33381260116072,36622.1044599113,158410.703208731
2000,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",9.14575225527422,83656.1958789933,246840.754971195
1999,United States,1,Aleutians,20510,"""Sablefish""",2.1401778028622,104147.77114386,311559.115960451
1999,United States,2,Bering Sea,20510,"""Sablefish""",1.67957200183482,50529.5073329289,136312.629566358
1999,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",8.98433966215346,157444.929415098,608123.381052702
1999,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",9.31683487192553,92179.1933651039,334516.156762088
1999,United States,6,West Yakutat,20510,"""Sablefish""",7.48343232237405,43269.2056879668,183128.639975739
1999,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",7.87360644536157,72019.8781557223,192190.59415007
1998,United States,1,Aleutians,20510,"""Sablefish""",1.97959422588239,97283.6850408498,297147.949155471
1998,United States,2,Bering Sea,20510,"""Sablefish""",1.4114646060811,38367.6664977057,139915.887959718
1998,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",7.74516611540426,137570.432492132,522744.578135792
1998,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",8.68518800933747,91567.557394216,349349.584645655
1998,United States,6,West Yakutat,20510,"""Sablefish""",7.56601914858468,43746.7227171166,178783.442921212
1998,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",7.43173640686532,67978.0929135971,206118.983680796
1997,United States,1,Aleutians,20510,"""Sablefish""",1.05961427473896,50160.1855659194,153013.960859932
1997,United States,2,Bering Sea,20510,"""Sablefish""",1.52959933503235,44045.5849852932,160300.1005452
1997,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",9.97995521327308,177580.160490099,683294.161897958
1997,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",8.69249950811398,92687.2639296782,358228.593709862
1997,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",7.31252552399441,66887.6709679769,182189.036039398
1996,United States,1,Aleutians,20510,"""Sablefish""",1.10249142900178,52091.2989865122,173871.51354531
1996,United States,2,Bering Sea,20510,"""Sablefish""",,,
1996,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",10.7972579120724,192614.238870932,783763.412711279
1996,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",9.07741024674232,96082.5828846651,390696.396158114
1995,United States,1,Aleutians,20510,"""Sablefish""",,,
