"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"AI",304.890243753094,250.394339413406,268.136239096929,326.01170899296,271.832649821617,293.305187658913,282.060184221,298.586294236532,330.417272628,310.391983377818,222.900541058571,240.254389410882,222.338606921449,234.203813931724,247.812954471,223.9494847812,229.246666731694,156.06365426615
"BS",280.189098361565,140.178730498642,185.8834136628,79.8860616149647,110.411629874341,169.091536604073,169.7159964312,165.991497762462,188.544690393231,271.912450699299,120.7948997304,131.171329487739,93.821281344,113.985676632857,118.925803891125,186.804872676,105.752070215202,94.4595891488522
"CG",281.426975669812,290.7549774765,244.264260706714,284.2937557548,318.1274375499,367.856137638,318.46804508475,289.778410418538,296.89623454425,293.895644356286,290.8788347619,244.66974586725,285.7318764575,261.629162706656,167.699121570265,185.500103595231,161.228826364691,138.871292304192
"EY",222.8910642675,225.77079378,220.1265239355,224.871432101481,291.677192791342,279.670469547808,280.449657898594,248.0253434526,263.6680341645,259.826136203118,260.964476339824,247.724804408932,242.2428465915,236.917040951912,211.66011916875,212.869605564,199.143625646401,155.258180680151
"WG",108.607670598214,101.67248199375,88.84892570625,100.173624765341,77.2030429553571,107.661505534615,126.09830349375,103.733410682813,88.8925432446428,114.80136105,91.4250865675781,83.9360047909091,93.886751390625,82.3407298460526,63.1313540307692,72.7199185744565,61.8377465049346,44.6630103083446
"WY",128.122949437714,130.074060342857,111.032663176,128.142077976,149.476774344,142.793802589846,136.474295357455,109.9735532055,112.17871500975,129.223576102154,145.0000587672,117.229246884,118.367394912,104.709618576,98.9619710346,87.637398156,90.3328944719142,67.0236045550178
