"","x"
"1999",1326.1280020879
"2000",1138.84538350516
"2001",1118.29202628419
"2002",1143.37866120555
"2003",1218.72872733656
"2004",1360.37863957325
"2005",1313.26648248675
"2006",1216.08850975844
"2007",1280.59748998437
"2008",1380.05115178867
"2009",1131.96389722547
"2010",1064.98552084971
"2011",1056.38875761707
"2012",1033.7860426452
"2013",908.191324166509
"2014",969.481383346887
"2015",847.541829934837
"2016",656.339331262708
